months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,11.4,21.333334,5.0,50.0,19.65681,10.05908,0.0,400.1543,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,11.05,25.0,5.0,50.0,19.029617,11.026095,0.0,400.1409,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,10.7,28.666666,5.0,50.0,18.67177,11.854298,0.0,400.13483,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,10.35,32.333332,5.0,50.0,18.33796,13.262571,0.0,400.11145,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,10.0,36.0,5.0,50.0,18.123413,14.438994,0.0,400.0941,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,10.166667,35.5,5.0,50.0,17.9599,15.78228,0.0,400.0761,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,10.333333,35.0,5.0,50.0,17.848965,16.88735,0.0,400.0625,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,10.5,34.5,5.0,50.0,17.760033,17.780642,0.0,400.05185,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,10.666667,34.0,5.0,50.0,17.68641,18.50207,0.0,400.04318,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,10.833333,33.5,5.0,50.0,17.626661,19.085268,0.0,400.03595,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,11.0,33.0,5.0,50.0,17.57987,19.554316,0.0,400.0299,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,10.666667,33.833332,5.0,50.0,17.496195,19.998823,0.0,400.02484,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,10.333333,34.666668,5.0,50.0,17.377417,20.441809,0.0,400.02063,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,10.0,35.5,5.0,50.0,17.242914,20.86914,0.0,400.01715,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,9.666667,36.333332,5.0,50.0,17.103443,21.27151,0.0,400.01425,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,9.333333,37.166668,5.0,50.0,16.961018,21.64913,0.0,400.0118,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,9.0,38.0,5.0,50.0,16.815254,22.005138,0.0,400.00983,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,9.166667,37.666668,5.0,50.0,16.71223,22.28722,0.0,400.00815,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,9.333333,37.333332,5.0,50.0,16.648878,22.499895,0.0,400.00677,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,9.5,37.0,5.0,50.0,16.60569,22.673048,0.0,400.0056,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,9.666667,36.666668,5.0,50.0,16.571665,22.823734,0.0,400.00467,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,9.833333,36.333332,5.0,50.0,16.544321,22.956446,0.0,400.00388,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,10.0,36.0,5.0,50.0,16.523737,23.071842,0.0,400.00323,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,10.0,35.5,5.0,50.0,16.494827,23.158812,0.0,400.0027,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,10.0,35.0,5.0,50.0,16.457695,23.20152,0.0,400.00223,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,10.0,34.5,5.0,50.0,16.417807,23.193264,0.0,400.00186,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,10.0,34.0,5.0,50.0,16.3782,23.137798,0.0,400.00153,0.0,0.0,False,False,01-31 04:30,0.0,0.0
