months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,11.4,21.333334,5.0,50.0,19.886766,10.156049,0.0,404.13763,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,11.05,25.0,5.0,50.0,19.196926,11.11968,0.0,403.5969,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,10.7,28.666666,5.0,50.0,18.82078,11.871673,0.0,403.466,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,10.35,32.333332,5.0,50.0,18.506382,12.972951,0.0,403.00003,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,10.0,36.0,5.0,50.0,18.328768,13.883831,0.0,402.62326,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,10.166667,35.5,5.0,50.0,18.17684,14.970131,0.0,402.23178,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,10.333333,35.0,5.0,50.0,18.074854,15.90166,0.0,401.9234,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,10.5,34.5,5.0,50.0,17.995964,16.688406,0.0,401.6701,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,10.666667,34.0,5.0,50.0,17.93103,17.354023,0.0,401.45346,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,10.833333,33.5,5.0,50.0,17.878082,17.91795,0.0,401.26465,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,11.0,33.0,5.0,50.0,17.835915,18.394594,0.0,401.0996,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,10.666667,33.833332,5.0,50.0,17.764492,18.848387,0.0,400.9556,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,10.333333,34.666668,5.0,50.0,17.662502,19.299488,0.0,400.8302,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,10.0,35.5,5.0,50.0,17.544926,19.737535,0.0,400.7212,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,9.666667,36.333332,5.0,50.0,17.42186,20.153456,0.0,400.6264,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,9.333333,37.166668,5.0,50.0,17.29622,20.545555,0.0,400.54407,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,9.0,38.0,5.0,50.0,17.168072,20.915531,0.0,400.47247,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,9.166667,37.666668,5.0,50.0,17.074574,21.223818,0.0,400.4103,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,9.333333,37.333332,5.0,50.0,17.015856,21.469414,0.0,400.35638,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,9.5,37.0,5.0,50.0,16.976662,21.67456,0.0,400.30954,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,9.666667,36.666668,5.0,50.0,16.946638,21.854622,0.0,400.26892,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,9.833333,36.333332,5.0,50.0,16.92249,22.015205,0.0,400.23364,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,10.0,36.0,5.0,50.0,16.904053,22.157503,0.0,400.203,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,10.0,35.5,5.0,50.0,16.878942,22.27417,0.0,400.1764,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,10.0,35.0,5.0,50.0,16.846497,22.353848,0.0,400.15326,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,10.0,34.5,5.0,50.0,16.811043,22.390524,0.0,400.13318,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,10.0,34.0,5.0,50.0,16.775496,22.385437,0.0,400.11572,0.0,0.0,False,False,01-31 04:30,0.0,0.0
