months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,5.633333,83.0,5.0,50.0,15.387833,45.41289,0.0,425.66745,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,4.95,84.0,5.0,50.0,14.8744135,46.59001,0.0,422.92633,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,4.266667,85.0,5.0,50.0,14.53802,47.11523,0.0,420.41342,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,3.5833333,86.0,5.0,50.0,14.325042,47.31168,0.0,418.7349,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,2.9,87.0,5.0,50.0,14.078891,47.359497,0.0,416.65833,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,2.8166666,87.333336,5.0,50.0,13.8822565,47.21831,0.0,414.79523,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,2.7333333,87.666664,5.0,50.0,13.730171,46.988033,0.0,413.136,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,2.65,88.0,5.0,50.0,13.606792,46.734623,0.0,411.66327,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,2.5666666,88.333336,5.0,50.0,13.499855,46.491783,0.0,410.3569,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,2.4833333,88.666664,5.0,50.0,13.403576,46.268467,0.0,409.19763,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,2.4,89.0,5.0,50.0,13.315781,46.063877,0.0,408.16843,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,2.3666666,89.0,5.0,50.0,13.237835,45.875217,0.0,407.25452,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,2.3333333,89.0,5.0,50.0,13.168753,45.693375,0.0,406.44293,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,2.3,89.0,5.0,50.0,13.106466,45.52105,0.0,405.72226,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,2.2666667,89.0,5.0,50.0,13.049307,45.360237,0.0,405.08224,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,2.2333333,89.0,5.0,50.0,12.996269,45.21121,0.0,404.51385,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,2.2,89.0,5.0,50.0,12.946742,45.0733,0.0,404.0091,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,2.1,89.166664,5.0,50.0,12.896227,44.94304,0.0,403.56076,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,2.0,89.333336,5.0,50.0,12.844002,44.82398,0.0,403.1625,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,1.9,89.5,5.0,50.0,12.791308,44.71013,0.0,402.80872,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,1.8,89.666664,5.0,50.0,12.739169,44.597878,0.0,402.49445,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,1.7,89.833336,5.0,50.0,12.687904,44.486137,0.0,402.2153,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,1.6,90.0,5.0,50.0,12.637465,44.37488,0.0,401.96738,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,1.5,90.5,5.0,50.0,12.587837,44.27337,0.0,401.74713,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,1.4,91.0,5.0,50.0,12.538967,44.186543,0.0,401.5515,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,1.3,91.5,5.0,50.0,12.490773,44.114845,0.0,401.37778,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,1.2,92.0,5.0,50.0,12.443185,44.05669,0.0,401.22348,0.0,0.0,False,False,01-31 04:30,0.0,0.0
1.0,31.0,4.0,1.1,92.5,5.0,50.0,12.396146,44.010143,0.0,401.08643,0.0,0.0,False,False,01-31 04:40,0.0,0.0
1.0,31.0,4.0,1.0,93.0,5.0,50.0,12.349611,43.97352,0.0,400.9647,0.0,0.0,False,False,01-31 04:50,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,12.336544,43.854958,0.0,400.85663,0.0,0.0,False,False,01-31 05:00,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,12.331087,43.730873,0.0,400.76065,0.0,0.0,False,False,01-31 05:10,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,12.318755,43.642254,0.0,400.6754,0.0,0.0,False,False,01-31 05:20,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,12.300235,43.585407,0.0,400.59976,0.0,0.0,False,False,01-31 05:30,0.0,0.0
